자전거대여소명,자전거대여소구분,소재지도로명주소,소재지지번주소,위도,경도,운영시작시각,운영종료시각,휴무일,요금구분,자전거이용요금,자전거보유대수,거치대수,공기주입기비치여부,공기주입기유형,수리대설치여부,관리기관전화번호,관리기관명,데이터기준일자
공공자전거대여소 신중동역,유인대여소,경기도 부천시 길주로 314,경기도 부천시 중동 1242-1,37.503068,126.775751,09:00,18:00,토요일+ 일요일+ 공휴일,무료,무료,30,,Y,기계식,N,032-625-9091,경기도 부천시청,2019-05-28
공공자전거대여소 부천역,유인대여소,경기도 부천시 부천로 3-1,경기도 부천시 심곡동 173-1번지,37.484717,126.782677,09:00,18:00,토요일+ 일요일+ 공휴일,무료,무료,30,,Y,기계식,N,032-625-9091,경기도 부천시청,2019-05-28
공공자전거대여소 송내역,유인대여소,경기도 부천시 부일로 224-9,경기도 부천시 상동 463-1번지,37.488286,126.755075,09:00,18:00,토요일+ 일요일+ 공휴일,무료,무료,30,,Y,기계식,N,032-625-9091,경기도 부천시청,2019-05-28
탄현마을 606동 앞,무인대여소,,경기도 고양시 일산서구 탄현동 1551,37.695784,126.770958,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,9,20,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
공공자전거대여소 부천시청,유인대여소,경기도 부천시 길주로 210,경기도 부천시 중동 1156번지,37.503728,126.766102,09:00,18:00,토요일+ 일요일+ 공휴일,무료,무료,39,,Y,기계식,N,032-625-9091,경기도 부천시청,2019-05-28
마두동주민센터 옆,무인대여소,,경기도 고양시 일산동구 마두동 725,37.656956,126.791415,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,9,20,Y,기계식,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
성원2차아파트 201동,무인대여소,,경기도 고양시 일산동구 풍동 1337,37.663803,126.798477,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,14,20,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
하늘마을1단지 101동 앞,무인대여소,,경기도 고양시 일산동구 중산동 1768,37.680546,126.781574,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,12,20,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
KT 덕양지사 앞,무인대여소,,경기도 고양시 덕양구 성사동 395-2,37.655355,126.838763,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,7,20,Y,기계식,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
냉천초교 맞은편,무인대여소,,경기도 고양시 일산동구 정발산동 1344,37.667124,126.785525,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,9,30,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
한수중학교 앞,무인대여소,,경기도 고양시 일산서구 주엽동 129,37.669088,126.755739,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,10,25,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
장촌공원,무인대여소,경기도 고양시 일산서구 중앙로 1525,경기도 고양시 일산서구 대화동 2241,37.6740215604,126.7515072999,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,10,20,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
신탄리 자전거 대여소,유인대여소,경기도 연천군 신서면 고대산길 4,경기도 연천군 신서면 대광리 169-2,38.2128435474,127.1395465518,10:00,17:30,"월, 화",유료,"시간당 3,000원/하루 대여 10,000원",34,34,Y,기계식,N,000-0000-0000,신탄리 자전거 대여소,2018-09-21
장성공원,무인대여소,경기도 고양시 일산서구 강성로214번길 41-10,경기도 고양시 일산서구 대화동 2166번지,37.676769,126.753883,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,8,20,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
강선초교 옆,무인대여소,,경기도 고양시 일산서구 주엽동 53,37.671765,126.764799,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,7,30,Y,기계식,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
문촌4단지 사거리,무인대여소,,경기도 고양시 일산서구 주엽동 144,37.676684,126.761791,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,9,30,Y,기계식,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
신원마을2단지 사거리,무인대여소,,경기도 고양시 덕양구 신원동 612-1,37.665269,126.891398,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,6,30,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
마두동 사거리,무인대여소,,경기도 고양시 일산동구 마두동 740,37.659217,126.788255,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,20,25,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
일산에듀포레 푸르지오,무인대여소,,경기도 고양시 일산서구 탄현동 1653,37.702324,126.767451,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,20,40,N,,N,031-903-8987,경기도 고양시 에코바이크(주),2020-05-15
고양시 공원관리사업소,무인대여소,,경기도 고양시 일산동구 마두동 1121,37.6648965869,126.7768078051,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,6,20,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
세이브존 앞,무인대여소,,경기도 고양시 덕양구 화정동 1099,37.632913,126.830678,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,11,25,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
문화초교 옆,무인대여소,,경기도 고양시 일산서구 주엽동 146,37.675456,126.767363,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,7,25,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
행신역 앞,무인대여소,,경기도 고양시 덕양구 행신동 810,37.612595,126.839991,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,12,30,Y,기계식,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
삼송마을19단지 후문 사거리,무인대여소,,경기도 고양시 덕양구 삼송동 329,37.650319,126.882893,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,7,25,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
SBS일산제작센터 맞은편,무인대여소,,경기도 고양시 일산서구 탄현동 1526,37.694905,126.764744,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,11,30,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
숲속마을로 사거리,무인대여소,,경기도 고양시 일산동구 풍동 1253,37.672973,126.800918,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,13,20,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
어울림마을 701동 앞,무인대여소,,경기도 고양시 덕양구 성사동 348-2,37.654775,126.834924,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,13,20,Y,기계식,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
강촌마을 515동 앞,무인대여소,,경기도 고양시 일산동구 마두동 773,37.651415,126.782369,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,12,20,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
문촌 롯데마트 옆,무인대여소,,경기도 고양시 일산서구 주엽동 166,37.669806,126.762091,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,12,20,Y,기계식,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
백석역 3번 출구 앞,무인대여소,,경기도 고양시 일산동구 백석동 1517,37.641305,126.785899,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,8,20,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
남정씨티프라자 옆,무인대여소,,경기도 고양시 일산동구 장항동 1461,37.663891,126.766881,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,12,20,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
삼송 신세계 스타필드 후문,무인대여소,경기도 고양시 덕양구 고양대로 1955,경기도 고양시 덕양구 동산동 370,37.6469763081,126.8947784061,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,18,40,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
원시티 정문,무인대여소,,경기도 고양시 일산동구 장항동 1811,37.661135,126.748363,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,20,40,N,,N,031-903-8985,경기도 고양시 에코바이크(주),2020-05-15
세인연립B동 앞,무인대여소,,경기도 고양시 덕양구 토당동 101-9,37.627799,126.823264,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,7,20,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
강선마을19단지 1903동,무인대여소,,경기도 고양시 일산서구 주엽동 170,37.664826,126.760947,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,9,30,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
고양시 여성창업지원센터 옆,무인대여소,,경기도 고양시 일산서구 덕이동 374-5,37.697838,126.752743,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,6,20,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
예수인교회 앞,무인대여소,,경기도 고양시 덕양구 행신동 1017,37.618625,126.836684,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,6,30,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
삼송마을18단지 후문,무인대여소,,경기도 고양시 덕양구 원흥동 334,37.637115,126.868817,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,19,25,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
탄현주민센터 앞,무인대여소,,경기도 고양시 일산서구 탄현동 1532,37.694358,126.768611,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,6,20,Y,기계식,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
국립암센터 맞은편,무인대여소,,경기도 고양시 일산동구 마두동 856,37.664014,126.784754,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,4,20,Y,기계식,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
안곡중학교 옆,무인대여소,,경기도 고양시 일산동구 중산동 1775,37.680046,126.784538,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,15,25,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
고양 교통정보센터 앞,무인대여소,,경기도 고양시 덕양구 행신동 1015,37.621766,126.833465,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,14,15,Y,기계식,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
대림e-편한세상106동,무인대여소,,경기도 고양시 덕양구 성사동 717,37.660442,126.840528,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,13,20,Y,기계식,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
백석동주민센터,무인대여소,,경기도 고양시 일산동구 백석동 1398,37.649773,126.792532,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,14,30,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
양지마을 405동 앞,무인대여소,,경기도 고양시 일산동구 정발산동 695,37.668053,126.770217,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,9,20,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
저동고교 사거리,무인대여소,,경기도 고양시 일산동구 정발산동 1295,37.670591,126.780936,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,10,20,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
대화역 1번 출구,무인대여소,,경기도 고양시 일산서구 대화동 2502,37.675122,126.749818,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,11,30,Y,기계식,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
일산센트럴아이파크,무인대여소,,경기도 고양시 일산동구 중산동 1705,37.678241,126.782444,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,20,40,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
달빛마을3단지 상가 앞,무인대여소,,경기도 고양시 덕양구 화정동 1045,37.642443,126.833733,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,11,20,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
화정역 3번 출구,무인대여소,,경기도 고양시 덕양구 화정동 963,37.6349508467,126.8330457424,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,15,25,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
능곡역,무인대여소,,경기도 고양시 덕양구 토당동 445-5,37.620594,126.819750,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,11,20,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
후곡마을1단지 101동 앞,무인대여소,,경기도 고양시 일산서구 일산동 1408,37.681577,126.769142,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,7,20,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
세인아파트 A동 앞,무인대여소,,경기도 고양시 일산서구 일산동 587-4,37.688137,126.774134,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,9,20,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
현산초교 사거리,무인대여소,,경기도 고양시 일산서구 탄현동 1623,37.693468,126.773647,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,9,20,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
풍동 휴먼시아3단지 301동 앞,무인대여소,경기도 고양시 일산동구 숲속마을로 36-1,경기도 고양시 일산동구 풍동 1321,37.669949,126.794115,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,14,25,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
중산2단지 사거리,무인대여소,,경기도 고양시 일산서구 일산동 1606,37.696415,126.778558,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,11,20,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
햇빛마을 2312동 앞,무인대여소,,경기도 고양시 덕양구 행신동 957,37.622701,126.837325,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,10,20,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
가좌2단지 후문,무인대여소,,경기도 고양시 일산서구 가좌동 1089,37.6884422498,126.7169751009,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,15,20,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
궁골공원,무인대여소,,경기도 고양시 일산서구 주엽동 55,37.669842,126.768673,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,9,20,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
신원마을10단지 한우물천,무인대여소,,경기도 고양시 덕양구 신원동 663,37.661449,126.887565,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,12,20,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
고양우편집중국청사,무인대여소,경기도 고양시 일산동구 호수로 366,경기도 고양시 일산동구 백석동 1327,37.639481,126.7851321922,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,14,30,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
백신초교 옆,무인대여소,,경기도 고양시 일산동구 백석동 1357,37.644178,126.782632,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,12,30,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
호수초교 옆,무인대여소,,경기도 고양시 일산동구 백석동 1359,37.645415,126.777826,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,8,30,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
덕양구청,무인대여소,경기도 고양시 덕양구 화중로104번길 13,경기도 고양시 덕양구 화정동 955,37.6374653264,126.8322923526,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,18,30,Y,기계식,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
롯데마트 화정지점 맞은편,무인대여소,,경기도 고양시 덕양구 화정동 1015,37.632869,126.828579,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,15,30,Y,기계식,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
화정역 4번 출구,무인대여소,,경기도 고양시 덕양구 화정동 963,37.6349508467,126.8330457424,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,7,20,Y,기계식,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
지도초등학교 앞,무인대여소,,경기도 고양시 덕양구 화정동 1144,37.627947,126.832699,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,12,30,Y,기계식,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
용현초등학교 앞,무인대여소,,경기도 고양시 덕양구 행신동 858,37.615482,126.838171,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,15,20,Y,기계식,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
학생종합복지센터,무인대여소,,경기도 고양시 덕양구 원흥동 682,37.650958,126.867857,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,8,25,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
주엽역 6번출구 앞,무인대여소,,경기도 고양시 일산서구 주엽동 78,37.6711710099,126.7620627599,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,23,30,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
능곡고등학교 앞,무인대여소,,경기도 고양시 덕양구 토당동 394-15,37.623595,126.824602,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,10,30,Y,기계식,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
킨텍스,무인대여소,경기도 고양시 일산서구 킨텍스로 217-60,경기도 고양시 일산서구 대화동 2306,37.6689350974,126.7458025950,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,13,20,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
마두역 교보생명 옆,무인대여소,,경기도 고양시 일산동구 장항동 894,37.651756,126.777141,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,10,20,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
고양백석체육센터,무인대여소,경기도 고양시 일산동구 경의로 84,경기도 고양시 일산동구 백석동 1235-1번지,37.641119,126.7951298071,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,18,20,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
강촌공원 육교 앞,무인대여소,경기도 고양시 일산동구 강석로 132-1,경기도 고양시 일산동구 마두동 791,37.6533323978,126.7810761142,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,6,30,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
은빛마을5단지 미도파상가,무인대여소,,경기도 고양시 덕양구 화정동 1045,37.642483,126.833555,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,7,25,Y,기계식,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
이케아 고양점,무인대여소,경기도 고양시 덕양구 권율대로 420,경기도 고양시 덕양구 도내동 1003번지,37.629587,126.863124,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,18,40,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
양수역 자전거대여소,유인대여소,경기도 양평군 양서면 목왕로 55-10,경기도 양평군 양서면 용담리 225-2,37.545801,127.328411,09:00,18:00,연중무휴,유료,1시간 3천원+2시간 5천원,150,0,Y,기계식,Y,031-771-6198,경기도 양평군,2017-01-01
아라뱃길자전거대여소,유인대여소,,경기도 김포시 고촌읍 전호리 661,37.5991301,126.787253,10:00,18:00,연중무휴,유료,"1시간 3,000원 초과 10분당 500원",50,,N,,N,031-999-7857,㈜워터웨이플러스,2019-09-11
탄현역 서쪽 현충공원앞,무인대여소,,경기도 고양시 일산서구 덕이동 365-7,37.693809,126.759453,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,5,30,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
삼송 신세계스타필드 앞,무인대여소,경기도 고양시 덕양구 고양대로 1955,경기도 고양시 덕양구 동산동 370,37.6469763081,126.8947784061,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,18,40,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
에이스 스파랜드 맞은편,무인대여소,,경기도 고양시 일산동구 중산동 1593,37.685369,126.777939,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,8,20,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
장항 제1공영주차장,무인대여소,경기도 고양시 일산동구 무궁화로 32-19,경기도 고양시 일산동구 장항동 777,37.6620339555,126.7687424086,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,13,30,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
백마역,무인대여소,,경기도 고양시 일산동구 마두동 748,37.658716,126.793622,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,9,25,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
웨스턴돔 입구,무인대여소,,경기도 고양시 일산동구 장항동 860,37.657267,126.771359,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,17,30,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
곡산역 삼거리,무인대여소,,경기도 고양시 일산동구 백석동 1144,37.644482,126.799874,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,12,30,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
문화공원,무인대여소,경기도 고양시 일산서구 일산로 551,경기도 고양시 일산서구 일산동 1379,37.6778762808,126.7666709219,00:00,00:00,연중 무휴,유료,1회/60분 5백원+3개월 1만원,3,30,Y,기계식,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
호수공원 제3주차장 (MBC맞은편),무인대여소,경기도 고양시 일산동구 호수로 595,경기도 고양시 일산동구 장항동 906번지,37.653846,126.768781,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,8,30,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
저동중학교 옆,무인대여소,,경기도 고양시 일산동구 정발산동 1191,37.670647,126.777104,00:00,00:00,연중 무휴,유료,1회/60분 1천원+1년 6만원+6개월 4만원+3개월 2만원,8,20,N,,N,031-903-8983,경기도 고양시 에코바이크(주),2020-05-15
다농마트사거리,무인대여소,,경기도 안산시 상록구 성포동 593-35,37.327857,126.844142,00:01,24:00,연중무휴,유료,년회원(12개월) 3만원 + 반기회원(6개월) 2만원 + 월회원(30일) 4천원 + 일회원(1일) 천원,20,20,N,,N,1544-6339,안산도시공사,2017-02-24
상록구노인복지회관,무인대여소,,경기도 안산시 상록구 성포동 679-2,37.318098,126.845054,00:01,24:00,연중무휴,유료,년회원(12개월) 3만원 + 반기회원(6개월) 2만원 + 월회원(30일) 4천원 + 일회원(1일) 천원,25,25,N,,N,1544-6339,안산도시공사,2017-02-24
시외버스터미널(터미널사거리),무인대여소,,경기도 안산시 상록구 이동 614-26,37.316512,126.845511,00:01,24:00,연중무휴,유료,년회원(12개월) 3만원 + 반기회원(6개월) 2만원 + 월회원(30일) 4천원 + 일회원(1일) 천원,30,30,N,,N,1544-6339,안산도시공사,2017-02-24
한양대사거리,무인대여소,,경기도 안산시 상록구 일동 81-1 ,37.300144,126.838118,00:01,24:00,연중무휴,유료,년회원(12개월) 3만원 + 반기회원(6개월) 2만원 + 월회원(30일) 4천원 + 일회원(1일) 천원,40,40,N,,N,1544-6339,안산도시공사,2017-02-24
송호중학교,무인대여소,,경기도 안산시 단원구 고잔동 765-4,37.311746,126.838609,00:01,24:00,연중무휴,유료,년회원(12개월) 3만원 + 반기회원(6개월) 2만원 + 월회원(30일) 4천원 + 일회원(1일) 천원,30,30,N,,N,1544-6339,안산도시공사,2017-02-24
고잔역(고대병원),무인대여소,경기도 안산시 단원구 중앙대로 784,경기도 안산시 단원구 고잔동 289-48,37.317083,126.824164,00:01,24:00,연중무휴,유료,년회원(12개월) 3만원 + 반기회원(6개월) 2만원 + 월회원(30일) 4천원 + 일회원(1일) 천원,20,20,N,,N,1544-6339,안산도시공사,2017-02-24
초지역,무인대여소,경기도 안산시 단원구 중앙대로 620,경기도 안산시 단원구 초지동 25-1,37.321026,126.805698,00:01,24:00,연중무휴,유료,년회원(12개월) 3만원 + 반기회원(6개월) 2만원 + 월회원(30일) 4천원 + 일회원(1일) 천원,20,20,N,,N,1544-6339,안산도시공사,2017-02-24
산업단지공단 경기지역본부,무인대여소,경기도 안산시 단원구 동산로 57,경기도 안산시 단원구 원시동 773-2,37.313646,126.796794,00:01,24:00,연중무휴,유료,년회원(12개월) 3만원 + 반기회원(6개월) 2만원 + 월회원(30일) 4천원 + 일회원(1일) 천원,20,20,N,,N,1544-6339,안산도시공사,2017-02-24
서울예술대학,무인대여소,,경기도 안산시 단원구 고잔동 641,37.331127,126.839046,00:01,24:00,연중무휴,유료,년회원(12개월) 3만원 + 반기회원(6개월) 2만원 + 월회원(30일) 4천원 + 일회원(1일) 천원,20,20,N,,N,1544-6339,안산도시공사,2017-02-24
석수골운동장,무인대여소,,경기도 안산시 단원구 선부동 1147,37.341242,126.805471,00:01,24:00,연중무휴,유료,년회원(12개월) 3만원 + 반기회원(6개월) 2만원 + 월회원(30일) 4천원 + 일회원(1일) 천원,20,20,N,,N,1544-6339,안산도시공사,2017-02-24
선부동 벽산블루밍,무인대여소,경기도 안산시 단원구 선부광장북로 36,경기도 안산시 단원구 선부동 1082,37.337208,126.810449,00:01,24:00,연중무휴,유료,년회원(12개월) 3만원 + 반기회원(6개월) 2만원 + 월회원(30일) 4천원 + 일회원(1일) 천원,20,20,N,,N,1544-6339,안산도시공사,2017-02-24
