공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
선경,어린이공원,경기도 광명시 소하동 1247,경기도 광명시 소하동 1247,37.435704,126.881953,1500,,,,,,1987-03-31,경기도 광명시청,02-2680-6298,2019-09-09
개운,어린이공원,경기도 광명시 소하동 935,경기도 광명시 소하동 935,37.436968,126.877504,1501,,,화장실,,,1987-03-31,경기도 광명시청,02-2680-6298,2019-09-09
자경제1,어린이공원,경기도 광명시 일직동 504-3,경기도 광명시 일직동 504-3,37.421211,126.890122,1187,,,,,,2007-11-22,경기도 광명시청,02-2680-6298,2019-09-09
현 충,근린공원,경기도 광명시 연서일로 10,경기도 광명시 철산동 153번지,37.4827550,126.8646514,34587,,,화장실,,"벽천, 현충탑",1991-05-30,경기도 광명시청,02-2680-6298,2019-09-09
기형도문화공원,문화공원,경기도 광명시 일직동 산20-2외,경기도 광명시 일직동 산20-2외,37.426066,126.882548,50011,,,,,문학작품(시),2005-12-27,경기도 광명시청,02-2680-6298,2019-09-09
영당말,근린공원,경기도 광명시 소하동 1378-1,경기도 광명시 소하동 1378-1,37.434060,126.882136,20250,,,화장실,,,2005-12-27,경기도 광명시청,02-2680-6298,2019-09-09
밤일제6소공원,소공원,경기도 광명시 하안동 883,경기도 광명시 하안동 883,37.453013,126.862586,492,,,,,,2009-06-02,경기도 광명시청,02-2680-6298,2019-09-09
과일나라,어린이공원,경기도 광명시 소하동 1127,경기도 광명시 소하동 1127,37.431767,126.877151,1821,,,,,,2007-11-22,경기도 광명시청,02-2680-6298,2019-09-09
동산,어린이공원,경기도 광명시 광명동 78-8,경기도 광명시 광명동 78-8,37.482881,126.861801,1842,,,,,,2005-12-12,경기도 광명시청,02-2680-6298,2019-09-09
신나는,어린이공원,경기도 광명시 광명동 731,경기도 광명시 광명동 731,37.468254,126.854494,1703,,,화장실,,,1986-12-30,경기도 광명시청,02-2680-6298,2019-09-09
꿈나무,어린이공원,경기도 광명시 하안동 260-10,경기도 광명시 하안동 260-10,37.457549,126.881875,1500,,,,,,1987-12-24,경기도 광명시청,02-2680-6298,2019-09-09
무궁화,어린이공원,경기도 광명시 하안동 30-6,경기도 광명시 하안동 30-6,37.464768,126.879705,1500,,,,,,1987-12-24,경기도 광명시청,02-2680-6298,2019-09-09
밤일제1소공원,소공원,경기도 광명시 하안동 871-10,경기도 광명시 하안동 871-10,37.453807,126.860704,521,,,,,,2009-06-02,경기도 광명시청,02-2680-6298,2019-09-09
새싹,어린이공원,경기도 광명시 소하동 1267-1,경기도 광명시 소하동 1267-1,37.434404,126.880151,1500,,,,,,1987-03-31,경기도 광명시청,02-2680-6298,2019-09-09
하얀마음,어린이공원,경기도 광명시 광명동 71-10,경기도 광명시 광명동 71-10,37.484637,126.860676,1337,,,,,,1986-11-06,경기도 광명시청,02-2680-6298,2019-09-09
푸른,어린이공원,경기도 광명시 하안동 110-1,경기도 광명시 하안동 110-1,37.463537,126.882098,1500,,,,,,1987-12-24,경기도 광명시청,02-2680-6298,2019-09-09
개나리,어린이공원,경기도 광명시 하안동 110-4,경기도 광명시 하안동 110-4,37.461720,126.882544,1500,,,,,,1987-12-24,경기도 광명시청,02-2680-6298,2019-09-09
백합,어린이공원,경기도 광명시 하안동 200-5,경기도 광명시 하안동 200-5,37.458416,126.886153,1500,,,,,,1987-12-24,경기도 광명시청,02-2680-6298,2019-09-09
물결,어린이공원,경기도 광명시 소하동 1305-10,경기도 광명시 소하동 1305-10,37.450925,126.882248,3298,,,,,,2004-01-06,경기도 광명시청,02-2680-6298,2019-09-09
꽃향기,어린이공원,경기도 광명시 소하동 1376,경기도 광명시 소하동 1376,37.432374,126.886049,3823,,,,,,2007-11-22,경기도 광명시청,02-2680-6298,2019-09-09
꿈동산,어린이공원,경기도 광명시 광명동 755,경기도 광명시 광명동 755,37.469722,126.847434,1501,,,화장실,,,1986-12-30,경기도 광명시청,02-2680-6298,2019-09-09
가림,어린이공원,경기도 광명시 하안동 702-3,경기도 광명시 하안동 702-3,37.464807,126.866353,1500,,,,,,1987-12-24,경기도 광명시청,02-2680-6298,2019-09-09
소 하,근린공원,경기도 광명시 소하동 919-1,경기도 광명시 소하동 919-1,37.435698,126.875628,24850,,,화장실,,,1992-12-26,경기도 광명시청,02-2680-6298,2019-09-09
청석공원,체육공원,,경기도 광주시 경안동 242,37.41207945,127.2649646419,193530,"농구장, 족구장, 인라인스케이트장",,화장실,,,2012-02-23,경기도 광주시청,031-760-4484,2019-09-24
신현1지구 3호 소공원,소공원,경기도 광주시 오포읍 문형산길 131,경기도 광주시 오포읍 신현리 1241,37.35898432,127.1541376,8130,,"조합놀이대, 운동기구",,,,1999-12-06,경기도 광주시청,031-760-3715,2019-09-24
삼리어린이공원,어린이공원,,경기도 광주시 곤지암읍 삼리 131-1,37.35642312,127.3268077523,1493,,조합놀이대,,,,2004-02-16,경기도 광주시청,031-760-3715,2019-09-24
중대물빛공원,수변공원,,경기도 광주시 중대동 246-2,37.40037427,127.2189004,230932,,,화장실,,,2006-07-19,경기도 광주시청,031-760-4484,2019-09-24
양벌소공원,소공원,경기도 광주시 오포읍 양촌길 123,경기도 광주시 오포읍 양벌리 1040-1번지,37.3709262058,127.2479184909,1967,,조합놀이대,,,,2008-05-27,경기도 광주시청,031-760-3715,2019-09-24
안골소공원,소공원,,경기도 광주시 초월읍 서하리 471-3,37.43496569,127.3070543,700,,,,,,2009-06-02,경기도 광주시청,031-760-3715,2019-09-24
경안소공원,소공원,,경기도 광주시 경안동 254-34,37.4121908,127.2543733,315,,,,,,2010-06-17,경기도 광주시청,031-760-3715,2019-09-24
태전소공원,소공원,,경기도 광주시 태전동 223,37.38723494,127.2296743,2563,,,,,,2012-02-23,경기도 광주시청,031-760-3715,2019-09-24
탄벌소공원,소공원,,경기도 광주시 탄벌동 731-7,37.42105043,127.2374621915,543,,조합놀이대,,,,2012-11-16,경기도 광주시청,031-760-3715,2019-09-24
초월1소공원,소공원,,경기도 광주시 초월읍 지월리 889,37.41629186,127.3080169,1461,,,,,,2014-12-01,경기도 광주시청,031-760-3715,2019-09-24
초월2소공원,소공원,,경기도 광주시 초월읍 무갑리 913,37.41566864,127.3124059,3560,,,,,,2014-12-01,경기도 광주시청,031-760-3715,2019-09-24
경안1소공원,소공원,,경기도 광주시 경안동 425,37.41246902,127.2613857,425,,,,,,2007-04-09,경기도 광주시청,031-760-3715,2019-09-24
경안2소공원,소공원,,경기도 광주시 경안동 428,37.4117286830,127.261992,428,,,,,,2007-04-09,경기도 광주시청,031-760-3715,2019-09-24
곤지암소공원,소공원,,경기도 광주시 곤지암읍 곤지암리 453-4,37.35055475,127.3374982010,932,,,화장실,,,2001-08-05,경기도 광주시청,031-760-3715,2019-09-24
태전9지구 제1소공원,소공원,"경기도 광주시 회안대로 350-14, (태전동)",경기도 광주시 태전동 7-5번지 태전지웰,37.38505268,127.2363817,762,,,,,,2004-05-07,경기도 광주시청,031-760-3715,2019-09-24
태전9지구 제2소공원,소공원,"경기도 광주시 회안대로 350-14, (태전동)",경기도 광주시 태전동 7-5번지 태전지웰,37.38505268,127.2363817,265,,,,,,2004-05-07,경기도 광주시청,031-760-3715,2019-09-24
쌍령1호 어린이공원,어린이공원,,경기도 광주시 쌍령동 503-1,37.3989467162,127.2703877581,1500,,조합놀이대,,,,2014-07-24,경기도 광주시청,031-760-3715,2019-09-24
태전5지구 1호근린공원,근린공원,,경기도 광주시 태전동 702,37.3805010782,127.2289810305,119123,,"배드민턴장, 농구대",화장실,,,2008-09-05,경기도 광주시청,031-760-3715,2019-09-24
태전5지구 4호어린인공원,어린이공원,,경기도 광주시 태전동 702,37.3805010782,127.2289810305,1521,,조합놀이대,,,,2008-09-05,경기도 광주시청,031-760-3715,2019-09-24
태전5지구 5호어린이공원,어린이공원,,경기도 광주시 태전동 698,37.3856102731,127.2309259054,1595,,조합놀이대,,,,2008-09-05,경기도 광주시청,031-760-3715,2019-09-24
태전6지구 2호근린공원,근린공원,,경기도 광주시 태전동 702-12,37.3809033,127.2301341,10257,,운동기구,화장실,,,2008-09-05,경기도 광주시청,031-760-3715,2019-09-24
태전6지구 6호어린이공원,어린이공원,,경기도 광주시 태전동 704-3,37.37917481,127.2276112,2100,,조합놀이대,,,,2008-09-05,경기도 광주시청,031-760-3715,2019-09-24
양벌지구 양벌어린이공원,어린이공원,,경기도 광주시 오포읍 양벌리 1106-1,37.3792075780,127.2579969,3533,,"조합놀이대, 운동기구",,,,2015-07-04,경기도 광주시청,031-760-3715,2019-09-24
경안근린공원,근린공원,경기도 광주시 경안로98번길 30,경기도 광주시 경안동 168-1번지,37.4093602458,127.2512845796,83095,"농구장, 베드민턴장, 다목적구장","조합놀이대,시소,그네",화장실,,,2002-05-15,경기도 광주시청,031-760-3715,2019-09-24
삼보1공원,어린이공원,,경기도 구리시 인창동 665-2 일원,37.607911,127.140911,1592,야외헬스기구,조합놀이대,,,,1993-11-02,경기도 구리시청,031-550-2418,2020-09-15
주공2단지1공원,어린이공원,경기도 구리시 건원대로76번길 39,경기도 구리시 인창동 664-2 일원,37.609911,127.141611,1741,야외헬스기구,조합놀이대,,,,1993-11-02,경기도 구리시청,031-550-2418,2020-09-15
주공2단지2공원,어린이공원,,경기도 구리시 인창동 664-4 일원,37.609241,127.143811,1845,,,,,,1993-11-02,경기도 구리시청,031-550-2418,2020-09-15
주공4단지1공원,어린이공원,경기도 구리시 건원대로76번길 134,경기도 구리시 인창동 666-4 일원,37.607971,127.143211,1585,야외헬스기구,조합놀이대,,,,1993-11-02,경기도 구리시청,031-550-2418,2020-09-15
주공4단지2공원,어린이공원,경기도 구리시 건원대로76번길 135,경기도 구리시 인창동 666-5 일원,37.607581,127.144311,1506,야외헬스기구,조합놀이대,,,,1993-11-02,경기도 구리시청,031-550-2418,2020-09-15
개맥이공원,어린이공원,,경기도 구리시 토평동 1004 일원,37.592551,127.151411,3128,야외헬스기구,조합놀이대,,,,1996-12-31,경기도 구리시청,031-550-2418,2020-09-15
오성공원,어린이공원,,경기도 구리시 토평동 983 일원,37.589261,127.147211,2111,야외헬스기구,조합놀이대,,,,1996-12-31,경기도 구리시청,031-550-2418,2020-09-15
사노동체육공원,체육공원,경기도 구리시 왕숙천로 701,경기도 구리시 사노동 37-1일원,37.636091,127.147511,57479,,,,,,2009-03-13,경기도 구리시청,,2020-09-15
인창체육공원,체육공원,경기도 구리시 인창2로27번길 11,경기도 구리시 인창동 622-28일원,37.604761,127.131111,10228,,,,,,2010-05-25,경기도 구리시청,,2020-09-15
공원(교문3),소공원,,경기도 구리시 교문동 358-9 일원,37.597661,127.130411,1335,,,,,,2008-04-14,경기도 구리시청,,2020-09-15
아차산역사공원1,역사공원,경기도 구리시 한다리길 81,경기도 구리시 교문동 산151-2일원,37.583839,127.122657,525526,,,,,,2010-05-25,경기도 구리시청,031-550-8355,2020-09-15
삼환공원,어린이공원,,경기도 구리시 인창동 667-2일원,37.605771,127.143311,1530,야외헬스기구,조합놀이대,,,,1993-11-02,경기도 구리시청,031-550-2418,2020-09-15
섬말공원,역사공원,,경기도 구리시 갈매동 411-1 일원,37.627669,127.116962,16046,,,,,,2010-04-27,경기도 구리시청,,2020-09-15
공원(담터),근린공원,경기도 구리시 금강로6번길 20,경기도 구리시 갈매동 215-47 일원,37.640213,127.112548,34912,,,,,,2006-01-10,경기도 구리시청,,2020-09-15
인창중앙공원,근린공원,경기도 구리시 동구릉로66번길 29,경기도 구리시 인창동 309-2 일원,37.605541,127.137111,78093,"배드민턴장, 야외헬스기구",조합놀이대,"광장, 무대",,,1971-11-15,경기도 구리시청,031-550-2418,2020-09-15
제2호공원(교문체육관),근린공원,,경기도 구리시 교문동 산61-1 일원,37.595361,127.134911,26094,멀티스포츠센터,,,,,1976-12-18,경기도 구리시청,,2020-09-15
제4호공원(검배),근린공원,,경기도 구리시 수택동 산1-1 일원,37.598254,127.150955,39861,,,,,,1976-12-18,경기도 구리시청,031-550-2418,2020-09-15
토평공원,근린공원,,경기도 구리시 토평동 990-1 일원,37.590041,127.149911,15748,"족구장, 야외헬스기구","물놀이장, 조합놀이대",,,,1996-12-31,경기도 구리시청,031-550-2418,2020-09-15
돌섬공원,어린이공원,,경기도 구리시 토평동 23-50일원,37.579631,127.155611,1587,,,,,,2008-02-04,경기도 구리시청,,2020-09-15
공원(두레물1),어린이공원,,경기도 구리시 사노동 266-3 일원,37.633298,127.139221,3660,,,,,,2006-01-13,경기도 구리시청,,2020-09-15
공원(새마을1),어린이공원,,경기도 구리시 인창동 653-7 일원,37.611811,127.127638,1014,,,,,,2006-01-13,경기도 구리시청,,2020-09-15
공원(안말2),어린이공원,경기도 구리시 산마루로 245,경기도 구리시 사노동 287-59 일원,37.631859,127.137481,2350,,,,,,2006-01-13,경기도 구리시청,,2020-09-15
공원(언제말2),어린이공원,경기도 구리시 동구릉로442번길 33,경기도 구리시 사노동 348-5 일원,37.635924,127.141302,2220,,,,,,2006-01-13,경기도 구리시청,,2020-09-15
교문6호공원(교문4),어린이공원,,경기도 구리시 교문동 422-1 일원,37.592091,127.129522,1823,,,,,,2006-04-10,경기도 구리시청,,2020-09-15
공원(새롬),어린이공원,경기도 구리시 경춘로276번길 50-11,경기도 구리시 수택동 541-20일원,37.600441,127.146391,3939,,,,,,2007-07-30,경기도 구리시청,031-550-2418,2020-09-15
수누피공원,어린이공원,,경기도 구리시 수택동 626-4 일원,37.593991,127.144811,2857,야외헬스기구,조합놀이대,,,,1998-06-03,경기도 구리시청,031-550-2418,2020-09-15
어린이공원2(담터2),어린이공원,경기도 구리시 경춘북로303번길 5-12,경기도 구리시 갈매동 227-1 일원,37.639749,127.118755,1500,,,,,,2006-01-10,경기도 구리시청,,2020-09-15
원일공원,어린이공원,,경기도 구리시 인창동 693 일원,37.611781,127.138511,1821,,조합놀이대,,,,1996-12-12,경기도 구리시청,031-550-2418,2020-09-15
삼호공원,어린이공원,,경기도 구리시 인창동 595 일원,37.603271,127.136111,1500,야외헬스기구,조합놀이대,,,,1988-09-16,경기도 구리시청,031-550-2418,2020-09-15
공원(돌섬),소공원,,경기도 구리시 토평동 23-46일원,37.579951,127.155111,302,,,,,,2008-02-04,경기도 구리시청,031-550-2418,2020-09-15
소공원2(딸기원),소공원,경기도 구리시 경춘로24번길 10-20,경기도 구리시 교문동 342-4 일원,37.599882,127.117556,4644,,,,,,2013-03-08,경기도 구리시청,031-550-2418,2020-09-15
공원(벌말4),어린이공원,경기도 구리시 벌말로128번길 8,경기도 구리시 토평동 270-2 일원,37.587537,127.149195,1470,,,,,,2006-01-13,경기도 구리시청,,2020-09-15
아차산역사공원2,역사공원,,경기도 구리시 아천동 산49-1 일원,37.562148,127.102862,1521897,,,,,,2010-12-30,경기도 구리시청,031-550-8355,2020-09-15
새말공원,어린이공원,,경기도 구리시 인창동 648-263일원,37.607956,127.126521,2009,,,,,,2002-02-05,경기도 구리시청,,2020-09-15
여울목공원,어린이공원,경기도 구리시 검배로9번길 21,경기도 구리시 수택동 526-2 일원,37.600961,127.142311,1653,,,,,,1980-08-13,경기도 구리시청,031-550-2418,2020-09-15
신대촌공원,어린이공원,경기도 구리시 검배로83번길 48,경기도 구리시 수택동 498-9 일원,37.597321,127.149111,1653,야외헬스기구,조합놀이대,,,,1980-08-13,경기도 구리시청,031-550-2418,2020-09-15
옥밭굴공원,어린이공원,경기도 구리시 원수택로 43,경기도 구리시 수택동 436 일원,37.596111,127.140611,1653,야외헬스기구,조합놀이대,,,,1980-08-13,경기도 구리시청,031-550-2418,2020-09-15
원촌공원,어린이공원,경기도 구리시 원수택로 54,경기도 구리시 수택동 469-5 일원,37.596351,127.142111,1653,,조합놀이대,,,,1980-08-13,경기도 구리시청,031-550-2418,2020-09-15
공원(인창3),소공원,,경기도 구리시 인창동 714-2,37.602669,127.130449,1069,,,,,,2012-07-25,경기도 구리시청,,2020-09-15
호수공원,어린이공원,경기도 구리시 장자대로1번길 82-10,경기도 구리시 교문동 799 일원,37.591061,127.132411,1483,야외헬스기구,조합놀이대,,,,1990-03-21,경기도 구리시청,031-550-2418,2020-09-15
교문동 체육공원,체육공원,경기도 구리시 체육관로 131,경기도 구리시 교문동 3-2번지 일원,37.595761,127.136511,26998,,,,,,2009-07-20,경기도 구리시청,,2020-09-15
샛다리공원,어린이공원,,경기도 구리시 교문동 418-2일원,37.591551,127.127711,4995,,조합놀이대,,,,2003-10-06,경기도 구리시청,031-550-2418,2020-09-15
샛말공원,어린이공원,경기도 구리시 검배로47번길 12-10,경기도 구리시 수택동 506 일원,37.597531,127.144811,1323,야외헬스기구,조합놀이대,,,,1980-08-13,경기도 구리시청,031-550-2418,2020-09-15
옥천공원,어린이공원,경기도 구리시 원수택로 25,경기도 구리시 수택동 437-20 일원,37.594791,127.139611,1653,,조합놀이대,,,,1980-08-13,경기도 구리시청,031-550-2418,2020-09-15
인창15호공원(42호),어린이공원,경기도 구리시 동구릉로 194,경기도 구리시 인창동 73-2 일원,37.615616,127.139256,1623,,,,,,2006-04-10,경기도 구리시청,,2020-09-15
삼보2공원,어린이공원,경기도 구리시 건원대로 56,경기도 구리시 인창동 665-3 일원,37.606211,127.140211,1730,야외헬스기구,조합놀이대,,,,1993-11-02,경기도 구리시청,031-550-2418,2020-09-15
민벌공원,어린이공원,경기도 구리시 검배로 168,경기도 구리시 토평동 1010 일원,37.592911,127.156111,1553,,,,,,1996-12-31,경기도 구리시청,031-550-2418,2020-09-15
구리묘지공원,묘지공원,경기도 구리시 산마루로 176-21,경기도 구리시 사노동 산175-20 일원,37.628082,127.131556,163724,,,,,,2010-04-27,경기도 구리시청,031-550-2262,2020-09-15
동구릉역사공원,역사공원,,경기도 구리시 인창동 산2-82 일원,37.614439,127.135399,40747,,,,,,2013-03-07,경기도 구리시청,031-550-2069,2020-09-15
공원(딸기원1),어린이공원,,경기도 구리시 교문동 327-71 일원,37.603445,127.119961,657,,,,,,2006-01-10,경기도 구리시청,,2020-09-15
공원(백교2),어린이공원,,경기도 구리시 교문동 667-4 일원,37.581456,127.127585,1210,,,,,,2006-01-13,경기도 구리시청,,2020-09-15
공원(벌말3),어린이공원,,경기도 구리시 토평동 530 일원,37.582462,127.147684,1030,,,,,,2006-01-13,경기도 구리시청,,2020-09-15
조선왕조문화공원,문화공원,,경기도 구리시 사노동 173일원,37.627991,127.141783,156424,,,,,,2010-05-25,경기도 구리시청,031-550-2973,2020-09-15
구리역공원,근린공원,,경기도 구리시 인창동 675-1 일원,37.602531,127.141811,10226,,,,,,1993-11-02,경기도 구리시청,031-550-2418,2020-09-15
공원(양지말1),어린이공원,경기도 구리시 동구릉로459번길 81,경기도 구리시 사노동 496-2 일원,37.637512,127.135423,1500,,,,,,2006-01-13,경기도 구리시청,,2020-09-15
공원(벌말),문화공원,,경기도 구리시 토평동 611-19 일원,37.585677,127.145801,1720,,,,,,2006-01-13,경기도 구리시청,,2020-09-15
공원(벌말1),어린이공원,,경기도 구리시 토평동 286-4 일원,37.585151,127.148411,1930,,,,,,2006-01-13,경기도 구리시청,,2020-09-15
동구하늘공원,근린공원,,경기도 구리시 인창동 669-1 일원,37.607581,127.145611,9494,"족구장, 야외헬스기구","물놀이장, 조합놀이대",,,,1993-11-02,경기도 구리시청,031-550-2418,2020-09-15
공원(딸기원2),어린이공원,경기도 구리시 딸기원로8번길 19,경기도 구리시 교문동 330-8 일원,37.601715,127.119431,1770,,,,,,2006-01-10,경기도 구리시청,,2020-09-15
공원(백교1),어린이공원,,경기도 구리시 교문동 635-1 일원,37.579868,127.127904,580,,,,,,2006-01-13,경기도 구리시청,,2020-09-15
공원(백교3),어린이공원,,경기도 구리시 교문동 689-3 일원,37.582731,127.126674,1929,,,,,,2006-01-13,경기도 구리시청,,2020-09-15
공원(백교4),어린이공원,,경기도 구리시 교문동 694 일원,37.583282,127.126081,739,,,,,,2006-01-13,경기도 구리시청,,2020-09-15
공원(벌말2),어린이공원,,경기도 구리시 토평동 291-2 일원,37.584809,127.149759,1640,,,,,,2006-01-13,경기도 구리시청,,2020-09-15
도당공원,역사공원,경기도 구리시 갈매순환로 72,경기도 구리시 갈매동 395-27 일원,37.626351,127.118304,26625,,,,,,2010-04-27,경기도 구리시청,,2020-09-15
마골공원,역사공원,,경기도 구리시 갈매동 427-7 일원,37.623736,127.114253,31887,,,,,,2010-04-27,경기도 구리시청,,2020-09-15
협동공원,근린공원,,경기도 구리시 갈매동 산69-59 일원,37.635548,127.126286,71427,,,,,,2010-04-27,경기도 구리시청,,2020-09-15
갈매중앙공원,근린공원,,경기도 구리시 갈매동 301-5 일원,37.632891,127.118689,20723,,,,,,2010-04-27,경기도 구리시청,,2020-09-15
산마루공원,근린공원,,경기도 구리시 갈매동 산69-94 일원,37.628343,127.120737,33070,,,,,,2010-04-27,경기도 구리시청,,2020-09-15
새우개공원,근린공원,,경기도 구리시 갈매동 산69-12 일원,37.622675,127.109309,21178,,,,,,2010-04-27,경기도 구리시청,,2020-09-15
장자못공원,근린공원,,경기도 구리시 교문동593-1 일원,37.582761,127.139311,237255,,,,,,2006-04-10,경기도 구리시청,,2020-09-15
공원(아치울1),어린이공원,,경기도 구리시 아천동 153-4 일원,37.573567,127.120358,3678,,,,,,2006-01-13,경기도 구리시청,,2020-09-15
공원(안말1),어린이공원,,경기도 구리시 사노동 248-3 일원,37.633445,127.140615,1800,,,,,,2006-01-13,경기도 구리시청,,2020-09-15
공원(언제말1),어린이공원,,경기도 구리시 사노동 382-2 일원,37.638787,127.141181,1790,,,,,,2006-01-13,경기도 구리시청,,2020-09-15
공원(왕산내뜰),어린이공원,경기도 구리시 경춘로276번길 31,경기도 구리시 수택동 560 일원,37.601525,127.146555,1903,,,,,,2007-07-30,경기도 구리시청,031-550-2418,2020-09-15
포스코공원,어린이공원,,경기도 구리시 인창동 713-2,37.603148,127.131123,2358,야외헬스기구,조합놀이대,,,,2012-07-25,경기도 구리시청,031-550-2418,2020-09-15
가능골공원,어린이공원,경기도 구리시 안골로20번길 33,경기도 구리시 교문동 750 일원,37.595481,127.133311,1557,야외헬스기구,조합놀이대,,,,1988-02-20,경기도 구리시청,031-550-2418,2020-09-15
금호어울림공원,어린이공원,,경기도 구리시 교문동 358-11 일원,37.597511,127.127911,3907,야외헬스기구,조합놀이대,,,,2006-04-10,경기도 구리시청,031-550-2418,2020-09-15
공원(아치울2),어린이공원,,경기도 구리시 아천동 353-10 일원,37.574704,127.118379,1523,,,,,,2006-01-13,경기도 구리시청,,2020-09-15
안골공원,어린이공원,,경기도 구리시 교문동 728 일원,37.598141,127.131611,1524,야외헬스기구,조합놀이대,,,,1988-02-20,경기도 구리시청,031-550-2418,2020-09-15
주공1단지,어린이공원,경기도 구리시 건원대로 92,경기도 구리시 인창동 663-3 일원,37.609311,127.139111,2905,야외헬스기구,조합놀이대,,,,1993-11-02,경기도 구리시청,031-550-2418,2020-09-15
대체공원(47호),어린이공원,,경기도 구리시 인창동 573-2 일원,37.603944,127.133483,7148,,,,,,2006-04-17,경기도 구리시청,,2020-09-15
새마을공원,어린이공원,경기도 구리시 이문안로147번길 25,경기도 구리시 수택동 684-14 일원,37.592111,127.148072,1500,야외헬스기구,조합놀이대,,,,1988-09-16,경기도 구리시청,031-550-2418,2020-09-15
금호공원,어린이공원,,경기도 구리시 교문동 822 일원,37.585671,127.134211,2321,야외헬스기구,조합놀이대,,,,1996-12-31,경기도 구리시청,031-550-2418,2020-09-15
공원(도촌1),어린이공원,경기도 구리시 갈매길 120-1,경기도 구리시 갈매동 487-3 일원,37.629322,127.111781,1398,,,,,,2006-01-13,경기도 구리시청,,2020-09-15
늘푸른공원,근린공원,,경기도 구리시 인창동 674-2 일원,37.604531,127.143711,10000,"인라인스케이트장, 야외헬스기구",조합놀이대,,,,1993-11-02,경기도 구리시청,031-550-2418,2020-09-15
덕고개공원,어린이공원,경기도 구리시 경춘로162번길 35,경기도 구리시 교문동 220 일원,37.598651,127.133311,1651,야외헬스기구,조합놀이대,,,,1980-08-13,경기도 구리시청,031-550-2418,2020-09-15
안말공원,어린이공원,,경기도 구리시 갈매동 329-19 일원,37.630897,127.115559,1500,,,,,,2010-04-27,경기도 구리시청,,2020-09-15
탑골공원,어린이공원,,경기도 구리시 갈매동 103-2목 일원,37.638025,127.123134,1507,,,,,,2011-09-28,경기도 구리시청,,2020-09-15
서가산공원,어린이공원,경기도 구리시 원수택로64번길 74,경기도 구리시 수택동 477 일원,37.594791,127.145511,1657,,조합놀이대,,,,1980-08-13,경기도 구리시청,031-550-2418,2020-09-15
제3호공원(장자호수),근린공원,경기도 구리시 장자호수길 105,경기도 구리시 수택동 878 일원,37.586911,127.141211,45180,,,,,,1995-03-28,경기도 구리시청,,2020-09-15
수변공원1,수변공원,,경기도 구리시 갈매동 11 일원,37.640522,127.127748,50338,,,,,,2010-04-27,경기도 구리시청,,2020-09-15
소공원1(딸기원),소공원,경기도 구리시 경춘로24번길 4,경기도 구리시 교문동 343 일원,37.600038,127.117843,5612,,,,,,2013-03-08,경기도 구리시청,031-550-2418,2020-09-15
새싹공원,어린이공원,,경기도 구리시 토평동 957 일원,37.586911,127.146911,2392,야외헬스기구,조합놀이대,,,,1996-12-31,경기도 구리시청,031-550-2418,2020-09-15
새말공원,어린이공원,,경기도 구리시 수택동 449 일원,37.592621,127.141111,1656,야외헬스기구,조합놀이대,,,,1980-08-13,경기도 구리시청,031-550-2418,2020-09-15
부양공원,어린이공원,,경기도 구리시 수택동 854-1 일원,37.590921,127.141311,13430,,조합놀이대,,,,1990-03-21,경기도 구리시청,031-550-2418,2020-09-15
아름마을어린이공원,어린이공원,,경기도 구리시 인창동 651-36 일원,37.610171,127.130311,5407,야외헬스기구,"물놀이장, 조합놀이대",,,,2009-03-04,경기도 구리시청,031-550-2418,2020-09-15
어린이공원1(담터1),어린이공원,경기도 구리시 담터길21번길 70-6,경기도 구리시 갈매동 186 일원,37.641211,127.118528,1500,,,,,,2006-01-10,경기도 구리시청,,2020-09-15
어린이공원3(담터3),어린이공원,,경기도 구리시 갈매동 산17-3 일원,37.639735,127.117344,1500,,,,,,2006-01-10,경기도 구리시청,,2020-09-15
주공6단지공원,어린이공원,경기도 구리시 건원대로34번길 77,경기도 구리시 인창동 668-3 일원,37.605681,127.144611,1956,야외헬스기구,조합놀이대,,,,1993-11-02,경기도 구리시청,031-550-2418,2020-09-15
아름공원,어린이공원,,경기도 구리시 인창동 491 일원,37.611211,127.133211,1637,,조합놀이대,,,,1995-12-12,경기도 구리시청,031-550-2418,2020-09-15
인창14호공원(41호),어린이공원,,경기도 구리시 인창동 31-33일원,37.601095,127.137248,1564,,,,,,2006-04-10,경기도 구리시청,,2020-09-15
건영공원,어린이공원,,경기도 구리시 인창동 474-1 일원,37.612641,127.136111,1500,야외헬스기구,조합놀이대,,,,1988-09-16,경기도 구리시청,031-550-2418,2020-09-15
솔거어린이공원,어린이공원,경기도 군포시 산본동 1146-20,경기도 군포시 산본천로 43-68,37.3606922,126.924894,1503,,,,,,1994-09-15,군포시청,031-390-0734,2018-08-27
논뜰어린이공원,어린이공원,경기도 군포시 산본동 89-25,경기도 군포시 산본동 89-25,37.370464,126.9392942,1235,,,,,,1995-09-22,군포시청,031-390-0734,2018-08-27
웃터어린이공원,어린이공원,경기도 군포시 당동 755,경기도 군포시 당동 755,37.3541034,126.9433346,1496,,,,,,1995-05-19,군포시청,031-390-0734,2018-08-27
월구지어린이공원,어린이공원,경기도 군포시 당동 948-4,경기도 군포시 당동 948-4,37.352613,126.9395117,2203,,,,,,1999-03-04,군포시청,031-390-0734,2018-08-27
