연번,업종,상호,시설주소(도로명),시설전화번호
270,체육도장업,용인대 국가대표 태권도,"경기도 부천시 삼작로256번길 11-22, 2, (도당동)",032-682-9424
271,체육도장업,동곡태권도전문체육관,"경기도 부천시 안곡로 247,  (역곡동)",032-343-5444
272,체육도장업,용인대신라태권스쿨,"경기도 부천시 조종로 13, 3(일부)층 (원미동)",032-653-0820
273,체육도장업,레드복싱클럽,"경기도 부천시 부일로 719,  (역곡동)",032-344-3112
274,체육도장업,김지호 복싱 다이어트,"경기도 부천시 부천로 235,  (춘의동, 형제)",032-321-8820
275,체육도장업,경희대대한태권도장,"경기도 부천시 원미로144번길 45,  (원미동, 두산)",032-613-7942
276,체육도장업,우슈격투기비호관,"경기도 부천시 옥산로 138,  (춘의동)",032-677-5504
277,체육도장업,고리울태권도장,"경기도 부천시 부천로167번길 23,  (춘의동)",032-679-1616
278,체육도장업,한양대유신태권도체육관,"경기도 부천시 삼작로 287,  (도당동)",032-677-8082
279,체육도장업,역곡태권도,"경기도 부천시 지봉로 48,  (역곡동, 거남)",032-342-1236
280,체육도장업,라온태권도장,"경기도 부천시 원미로 130, 순복음성광교회 2, (원미동)",032-677-8550
281,체육도장업,용인대 도당 유도 체육관,"경기도 부천시 삼작로 270, 청오  (도당동)",
282,체육도장업,역곡트라이스톤,"경기도 부천시 부일로 745,  (역곡동)",070-4223-2733
283,체육도장업,경희대 도당 태권도장,"경기도 부천시 삼작로 270,  (도당동)",032-682-5279
284,체육도장업,라온태권도장,"경기도 부천시 원미로 182, 태진  (원미동)",
285,체육도장업,국가대표 태비 태권도,"경기도 부천시 조종로 27,  (원미동)",
286,체육도장업,빅터 아카데미 주짓수,"경기도 부천시 원미로143번길 9,  (원미동)",
287,체육도장업,점프스타 태권줄넘기,"경기도 부천시 삼작로256번길 61,  (도당동)",
288,골프연습장업,역곡필스크린골프,"경기도 부천시 부일로 727,  (역곡동, B.N.G)",032-345-0052
289,골프연습장업,현대골프장1,경기도 부천시 도약로 260 (도당동),032-677-7700
290,골프연습장업,현대골프장 2,경기도 부천시 도약로 260 (도당동),032-677-7700
291,골프연습장업,골프 잘가르치는 연습장,"경기도 부천시 부일로 702,  1호 (역곡동)",032-344-1021
292,골프연습장업,역곡골프존,"경기도 부천시 역곡로13번길 17,  (역곡동)",032-342-0333
293,골프연습장업,B&R골프연습장,"경기도 부천시 조마루로 387,  (원미동)",032-665-6989
294,골프연습장업,제니스SG스크린골프,"경기도 부천시 부천로 323,  (도당동, y-제니스파크)",032-327-7979
295,골프연습장업,피플스크린골프 2호점,"경기도 부천시 옥산로 255,   (도당동)",
296,골프연습장업,하나스크린골프,"경기도 부천시 옥산로 255,   (도당동)",032-719-7232
297,골프연습장업,대우골프존,"경기도 부천시 도약로 261, 부천대우테크노파크  107호 (도당동)",032-670-8923
298,체력단련장업,바디업 휘트니스,"경기도 부천시 원미로 126,  (원미동, 명성프라자)",032-655-6080
299,체력단련장업,은성휘트니스 헬스,"경기도 부천시 수도로 202, 은성프라자  (도당동)",032-673-2353
300,체력단련장업,도당웰빙헬스,"경기도 부천시 삼작로 257, 5층 (도당동)",032-681-8899
301,체력단련장업,캐나디안휘트니스,"경기도 부천시 부일로 753, 9층 (역곡동, 로하스타원)",032-347-8090
302,체력단련장업,토리짐,"경기도 부천시 역곡로13번길 4,  (역곡동)",032-343-5552
303,체력단련장업,광성스포츠센터,"경기도 부천시 옥산로138번길 30,  (춘의동, 광성프라자)",032-683-6666
304,체력단련장업,B&R휘트니스,"경기도 부천시 조마루로 387,  (원미동)",032-665-6989
305,체력단련장업,유핏,"경기도 부천시 옥산로 143-1,  (도당동)",
306,체력단련장업,웰빙 Body보신,"경기도 부천시 부일로779번길 38, 정우 2, (역곡동)",032-341-8887
307,체력단련장업,디엠짐,"경기도 부천시 부천로 120,   (원미동)",032-230-9200
308,당구장업,현대 당구장,경기도 부천시 조마루로 386 (원미동),
309,당구장업,원미당구장,경기도 부천시 조마루로 431 (원미동),032-667-6792
310,당구장업,상록수당구장,"경기도 부천시 삼작로 265,  (도당동)",032-683-5757
311,당구장업,나이스 당구장,경기도 부천시 부일로 761 (역곡동),032-345-3754
312,당구장업,유명당구장,경기도 부천시 옥산로 159 (도당동),032-677-9745
313,당구장업,나이스당구클럽,"경기도 부천시 길주로391번길 24,  (춘의동)",032-668-7357
314,당구장업,모아당구장,"경기도 부천시 옥산로138번길 8,  (춘의동)",032-683-0915
315,당구장업,패션당구장,"경기도 부천시 조마루로 390,  (원미동)",032-661-0121
316,당구장업,SBS스포츠당구클럽,"경기도 부천시 역곡로 3, 덕지  (역곡동)",032-346-8981
317,당구장업,준당구장,"경기도 부천시 삼작로 257,  (도당동)",032-682-5495
318,당구장업,금메달당구장,"경기도 부천시 역곡로 44,  (역곡동)",
319,당구장업,삼구사구,"경기도 부천시 역곡로 11,  3호 (역곡동)",
320,당구장업,Artis 당구장,"경기도 부천시 지봉로 43-3,  (역곡동)",032-344-0610
321,당구장업,매니아 당구장,"경기도 부천시 원미로 125,  (원미동)",032-661-7740
322,당구장업,아트 당구장,"경기도 부천시 옥산로 155,  (도당동)",032-205-0220
323,당구장업,구슬치기 당구클럽,"경기도 부천시 부천로198번길 18, 201동 ~호 (춘의동, 춘의테크노파크)",032-623-0477
324,당구장업,승리당구클럽,경기도 부천시 부천로275번길 8 (도당동),032-678-0395
325,당구장업,로얄당구장,경기도 부천시 옥산로 138 (춘의동),
326,당구장업,1박2일 당구장,"경기도 부천시 조마루로 425,  (원미동)",032-666-7008
327,당구장업,당구칠래,"경기도 부천시 부천로136번길 44,  (원미동)",
328,당구장업,프로당구클럽,"경기도 부천시 부일로 729,  (역곡동)",
329,당구장업,one&one 당구장,"경기도 부천시 조마루로 400,  (원미동)",
330,당구장업,오렌지당구장,"경기도 부천시 도약로 261,   (도당동)",032-670-7939
331,당구장업,세종당구장,"경기도 부천시 부일로 695,  (역곡동)",
332,당구장업,명성당구장,"경기도 부천시 원미로 126,  (원미동)",
333,당구장업,나이스당구장,"경기도 부천시 부일로 727,  (역곡동)",
334,당구장업,나이스당구클럽,"경기도 부천시 옥산로 148,  (도당동)",
335,당구장업,진빌당구클럽,"경기도 부천시 조종로 3,  (원미동)",
336,당구장업,원진당구장,"경기도 부천시 지봉로 116,  (역곡동)",
337,당구장업,한큐당구장,"경기도 부천시 부천로 354,  (도당동, 부양)",
338,당구장업,SBS스포츠당구클럽,"경기도 부천시 삼작로 292,  (도당동)",032-672-4242
339,당구장업,아키볼당구클럽,"경기도 부천시 옥산로 139, 나동  (도당동)",
340,당구장업,골드당구장,"경기도 부천시 조마루로386번길 43,  (원미동, 토탈프라자)",
341,당구장업,스카이당구장,"경기도 부천시 옥산로 134,  (춘의동)",
342,당구장업,본당구클럽,"경기도 부천시 원미로 164,  (원미동)",
343,당구장업,원당구장,"경기도 부천시 삼작로 283,  (도당동)",
344,당구장업,K-1 당구클럽,"경기도 부천시 부일로 712,  (역곡동)",032-349-1323
345,당구장업,스타당구장,"경기도 부천시 삼작로 294,  (도당동)",
346,당구장업,붐붐당구장,"경기도 부천시 부천로 193,  (춘의동)",
347,당구장업,원당구장,"경기도 부천시 옥산로 171,  (도당동)",
348,당구장업,강남당구장,"경기도 부천시 옥산로 143-1,  (도당동)",
349,당구장업,당구클럽,"경기도 부천시 부일로 731,  (역곡동)",
350,당구장업,K2 당구클럽,"경기도 부천시 역곡로 24,  (역곡동, 덕산)",032-349-2949
351,당구장업,애플당구장,"경기도 부천시 부일로 707,  (역곡동)",
352,당구장업,욜당구클럽,"경기도 부천시 부천로 170,   (춘의동)",
353,당구장업,M당구클럽,"경기도 부천시 조종로7번길 33,  (원미동)",
354,당구장업,B&B 당구클럽,"경기도 부천시 수도로 86, SB타워  (도당동)",
355,당구장업,S당구장,"경기도 부천시 수도로 186,  (도당동)",
356,당구장업,제이제이빌리아드클럽,"경기도 부천시 삼작로 266, 흥아   (도당동)",
357,체육도장업,경희대 상동 태권도장,"경기도 부천시 장말로 107-2, 301호,302(일부)호 (상동)",032-322-7333
358,체육도장업,용인대태풍태권도장,"경기도 부천시 장말로 96, 304호 (상동, 반달마을 상가동)",
359,체육도장업,왕호태권도장,"경기도 부천시 상일로 69, 상가동 211호 (상동, 반달마을)",
360,체육도장업,경희대 최강 태권도장,"경기도 부천시 부흥로 100-1, 201~202호 (상동)",
361,체육도장업,용인대학석사 Y&J태권도장,"경기도 부천시 부흥로 51, 상가동 204~207호 (상동)",032-328-2002
362,체육도장업,상동검도관,"경기도 부천시 소향로 35, 501호 (상동)",032-328-1991
363,체육도장업,예의바른태권도장,"경기도 부천시 상동로 69, 505호 (상동, 새롬프라자15차)",032-321-0987
364,체육도장업,경희대큰나무태권도체육관,"경기도 부천시 조마루로 87, 403호 (상동, 늘푸른종합상가)",032-327-7474
365,체육도장업,박사경희대태권도교육관,"경기도 부천시 송내대로265번길 53, 501호 (상동, 보람씨티프라자)",032-327-0244
366,체육도장업,참 태권도장,"경기도 부천시 조마루로 105, 401호 (상동, 세종프라자)",
367,체육도장업,용인대튼튼태권도장,"경기도 부천시 상동로117번길 31, 603호 (상동, 대림타운)",032-326-2678
368,체육도장업,박용호 트레이닝 연구소,"경기도 부천시 소향로 55-15, 승재밀레니엄오피스텔 208호 (상동)",
369,체육도장업,용인대석천태권도,"경기도 부천시 도약로 25, 403호 (상동)",032-321-3459
370,체육도장업,맑음 태권도,"경기도 부천시 조마루로85번길 18, 5층 (상동)",032-320-5833
371,체육도장업,팀체육관,"경기도 부천시 도약로 54, 202호 (상동)",032-322-0747
372,체육도장업,용인대한울태권도,"경기도 부천시 신상로 54, 상가동 303호 (상동, 목련마을)",032-325-0645
373,체육도장업,준 복싱클럽,"경기도 부천시 소향로13번길 28-14, 405호 (상동, 맘모스빌딩)",032-327-7989
374,체육도장업,대일경희대태권도,"경기도 부천시 장말로 71, 상가동 301호 (상동, 한아름마을)",032-255-5000
375,체육도장업,효재태권도,"경기도 부천시 부일로191번길 35, 307호 (상동, 반달마을 상가동)",032-325-7225
376,체육도장업,임흥식 복싱클럽,"경기도 부천시 상일로94번길 40, 3층 (상동)",
377,체육도장업,이옥성.김정주 복싱다이어트클럽,"경기도 부천시 길주로 125, 203~204호 (상동, 다승프라자)",032-326-3812
378,체육도장업,한가람태권도장,"경기도 부천시 도약로 29, 402호 (상동, 에이스프라자)",032-261-1247
379,체육도장업,TWT 더위닝팀,"경기도 부천시 부흥로 2, 203,204호 (상동, 송림프라자)",
380,체육도장업,VICTOR MMA 아카데미,"경기도 부천시 소향로37번길 31-17, 6층 (상동, 유원프라자)",032-246-9006
381,체육도장업,부천복싱남녀다이어트,"경기도 부천시 상일로 92, 201,202호 (상동, 광희빌딩)",
382,체육도장업,wawa이지유도클럽,"경기도 부천시 길주로77번길 61, 부건프라자 501호 (상동)",
383,체육도장업,용인대 석사 해솔태권도장,"경기도 부천시 상일로 69, 2층 202,203,204호 (상동)",
384,골프연습장업,제일골프클럽,"경기도 부천시 상동로117번길 31, 401~405호 (상동)",032-231-7010
385,골프연습장업,GTS골프아카데미,"경기도 부천시 송내대로73번길 42, 3층 (상동, 반달빌딩)",032-324-6465
386,골프연습장업,IMG골프연습장,"경기도 부천시 도약로 19, 4~5층 (상동, 동양프라자)",032-326-6767
387,골프연습장업,G7스크린골프존,"경기도 부천시 상동로 79, 703호 (상동, 수석프라자)",032-322-0788
388,골프연습장업,디앤디 오렌지 스크린골프,"경기도 부천시 길주로 115, 504호 (상동, 시그마타워)",032-327-3339
389,골프연습장업,스타골프존,"경기도 부천시 길주로 137, 204호 (상동)",032-329-0718
390,골프연습장업,상동필드스크린,"경기도 부천시 조마루로 87, 301,306호 (상동, 늘푸른종합상가)",032-327-0519
391,골프연습장업,월드스타스크린골프,"경기도 부천시 길주로77번길 19-27, 301호 (상동, 광장프라자)",032-326-2206
392,골프연습장업,PGA골프스쿨,"경기도 부천시 송내대로265번길 53, 6층 (상동, 보람시티프라자)",032-324-4499
393,골프연습장업,휘트니스메가짐(골프),"경기도 부천시 상동로 90, 606호 (상동, 메가플러스)",032-329-0101
394,골프연습장업,상동 마스터즈,"경기도 부천시 상동로 113, 209호 (상동, 승재프라자)",032-322-1761
395,골프연습장업,테마스크린골프,"경기도 부천시 상일로 86, 601호 (상동)",
396,골프연습장업,대일 스크린골프,"경기도 부천시 도약로 17, 2층 전체호 (상동, 그린프라자)",032-329-0330
397,골프연습장업,상동스크린골프존파크,"경기도 부천시 길주로 63, 313~314호 (상동, 스타팰리스)",032-324-4799
398,골프연습장업,메가플러스 스크린골프존,"경기도 부천시 상동로 90, 318~319호 (상동, 메가플러스)",032-327-0745
399,골프연습장업,골프존파크상동,"경기도 부천시 길주로 86, 603~605호 (상동, 해피플러스)",032-322-4373
400,골프연습장업,J'S골프클럽,"경기도 부천시 길주로 91, 601~613호 (상동, 비잔티움(601~613호,615~622호))",032-326-1222
401,골프연습장업,동원스크린골프,"경기도 부천시 길주로 125, 501호 (상동, 다승프라자)",032-324-7553
402,골프연습장업,타이거존스크린골프,"경기도 부천시 부흥로 12, 505~506호 (상동, 대림프라자)",
403,골프연습장업,TM골프클럽,"경기도 부천시 송내대로 239, 부천터미널소풍 9층 옥상호 (상동)",032-322-5515
404,골프연습장업,오잘공스크린골프존,"경기도 부천시 길주로 111, 401호 (상동, 센타프라자)",032-326-0759
405,골프연습장업,더스타일휘트니스(주),"경기도 부천시 상동로 87, 9층 (상동, 가나베스트타운)",
406,골프연습장업,올버디스크린골프,"경기도 부천시 길주로 70, 301호 (상동, 강산타운)",032-328-3777
407,골프연습장업,비전스크린골프,"경기도 부천시 상동로117번길 49, 702호 (상동, 아트프라자)",032-322-3335
408,골프연습장업,골프존,"경기도 부천시 조마루로 2, 스포츠센타동동 1층 R101~108,R114~121호 (상동)",032-310-8400
409,골프연습장업,나이스스크린골프,"경기도 부천시 상동로 108, 802층 (상동, 다인타운)",032-327-0006
410,골프연습장업,GDR골프아카데미,"경기도 부천시 길주로 125, 502호 (상동, 다승프라자)",032-327-1871
411,골프연습장업,비젼 골프데이,"경기도 부천시 길주로121번길 18-15, 301호 (상동, 우리프라자)",070-8803-3989
412,골프연습장업,세한골프존,"경기도 부천시 길주로 70, 501호 (상동, 강산타운)",032-325-4466
413,골프연습장업,센스 스크린골프존,"경기도 부천시 길주로 80, 705호 (상동, 로얄타워)",032-326-8253
414,골프연습장업,소풍필라테스&골프존파크,"경기도 부천시 송내대로 239, 6F01외호 (상동)",032-326-0722
415,골프연습장업,라온스크린,"경기도 부천시 도약로 29, 에이스프라자 302호 (상동)",032-326-8227
416,골프연습장업,골프튠아카데미,"경기도 부천시 송내대로265번길 23, 예성프라자 801호 (상동)",
417,골프연습장업,굿모닝스크린,"경기도 부천시 길주로77번길 19-45, 디아뜨갤러리4차 310호 (상동)",
418,체력단련장업,신라헬스크럽,경기도 부천시 송내대로73번길 46 (상동),032-325-6515
419,체력단련장업,인어스휘트니스 송내점,경기도 부천시 상일로 100 (상동),032-327-6733
420,체력단련장업,휘트니스메가짐,"경기도 부천시 상동로 90, 메가플러스빌딩 603,606호 (상동)",
421,체력단련장업,상록엘지헬스클럽,경기도 부천시 조마루로 48 (상동),032-226-1235
422,체력단련장업,크라운짐휘트니스,"경기도 부천시 상동로117번길 31, 501호 (상동, 대림타운)",
423,체력단련장업,더스타일휘트니스(주),"경기도 부천시 상동로 87, 9층 (상동, 가나베스트타운)",032-327-9633
424,체력단련장업,커브스상동클럽,"경기도 부천시 상동로 113, 207호 (상동, 승재프라자)",
425,체력단련장업,빅토리휘트니스,"경기도 부천시 장말로 1, 301~302호 (상동)",032-329-6688
426,체력단련장업,바디플라이짐,"경기도 부천시 상일로94번길 13, 3층 (상동)",
427,체력단련장업,ABS퍼스널트레이닝 상동점,"경기도 부천시 길주로 81 (상동, 모건시티 206~207호)",
428,체력단련장업,바디채널휘트니스,"경기도 부천시 상동로 83, 5층 (상동, 그랜드프라자)",
429,체력단련장업,브라운크리스탈PT샵,"경기도 부천시 상동로 108, 901호 (상동, 다인타운)",032-327-8088
430,체력단련장업,다이어트팩토리,"경기도 부천시 길주로77번길 19-6, 2층 (상동, 중앙프라자)",032-321-9679
431,체력단련장업,청년피티,"경기도 부천시 송내대로265번길 17, 효성프라자 601,602,608호 (상동)",032-328-1212
432,체력단련장업,써클30,"경기도 부천시 송내대로265번길 67, 303호 (상동, 월드컵타운)",
433,체력단련장업,피타짐,"경기도 부천시 송내대로73번길 42 (상동, 반달빌딩)",
434,체력단련장업,센터오브그래비티,"경기도 부천시 소향로 35, 502호 (상동)",
435,체력단련장업,코우스짐,"경기도 부천시 조마루로97번길 33-11, 1층 (상동)",
436,체력단련장업,N필라테스,"경기도 부천시 상동로 90, 메가플러스빌딩 506호 (상동)",032-321-9696
437,체력단련장업,숨FIT,"경기도 부천시 상동로117번길 31, 대림타운 407호 (상동)",
438,체력단련장업,슬림앤영짐,"경기도 부천시 상동로 113, 승재프라자 301호 (상동)",032-327-1848
439,체력단련장업,리라이프,"경기도 부천시 부일로 202, 광희빌딩 8층 (상동)",032-325-8177
440,체력단련장업,그녀의 피트니스 디얼핏 상동점,"경기도 부천시 상동로 81, 센타프라자 4층 401호 (상동)",032-324-4239
441,체력단련장업,히어로짐,"경기도 부천시 송내대로265번길 73, 보람프라자 801,802,803호 (상동)",032-321-1535
442,당구장업,맥스당구클럽,"경기도 부천시 상일로94번길 20, 3층 (상동)",032-325-9090
443,당구장업,삼성당구장,"경기도 부천시 소향로13번길 14-23, 301호 (상동, 삼상프라자)",032-322-0112
444,당구장업,큐당구장,"경기도 부천시 송내대로73번길 22, 305,306호 (상동, 장미상가)",032-327-3985
445,당구장업,프로2000당구클럽,"경기도 부천시 소향로37번길 31-7, 205호 (상동, 상동타운)",
446,당구장업,21세기 당구클럽,"경기도 부천시 도약로 25, 202호 (상동)",032-326-0848
447,당구장업,송내당구클럽,"경기도 부천시 송내대로73번길 41, 301호 (상동, 황소빌딩)",032-323-3944
448,당구장업,SBS 당구장,"경기도 부천시 길주로 86, 207~208호 (상동, 해피플러스)",032-239-3992
449,당구장업,WABA 당구장,"경기도 부천시 송내대로265번길 67, 301호 (상동, 월드컵타운)",070-7377-9329
450,당구장업,슈 당구클럽,"경기도 부천시 길주로77번길 19-45, 309호 (상동, 디아뜨갤러리4차)",032-610-4224
451,당구장업,메가당구클럽,"경기도 부천시 상동로 90, 215호 (상동)",032-321-7942
452,당구장업,나이스당구장,"경기도 부천시 송내대로73번길 46, 401~402호 (상동, 대양훼미리)",070-8164-2548
453,당구장업,루키당구클럽,"경기도 부천시 길주로121번길 18-7, 701호 (상동, 성원프라자)",032-326-0705
454,당구장업,돛대당구클럽,"경기도 부천시 조마루로 105, 302호 (상동, 세종프라자)",032-326-5938
455,당구장업,SBS당구클럽,"경기도 부천시 상일로94번길 37, 302,304호 (상동)",
456,당구장업,OK당구장,"경기도 부천시 부일로 115, B1층 (상동)",
457,당구장업,알파당구클럽,"경기도 부천시 길주로77번길 19-38, 203~204호 (상동, 굿모닝위너스빌)",032-324-0754
458,당구장업,VIP당구장,"경기도 부천시 송내대로73번길 32, 302~303호 (상동)",
459,당구장업,빅볼당구클럽,"경기도 부천시 소향로13번길 28-14, 202호 (상동, 맘모스타워)",070-7378-2234
460,당구장업,로니Billiard Club,"경기도 부천시 상일로94번길 14, 3층 (상동)",
461,당구장업,베스트볼링&포켓볼,"경기도 부천시 상동로 87, 10층 1004~1005호 (상동, 가나베스트타운3)",032-322-0923
462,당구장업,길당구클럽,"경기도 부천시 길주로 125, 207~208호호 (상동, 다승프라자)",032-323-0141
463,당구장업,당구채널,"경기도 부천시 길주로77번길 55-25, 301호 (상동)",
464,당구장업,DS빌리어드 클럽,"경기도 부천시 길주로 115, 606호 (상동, 시그마타워)",
465,당구장업,D.S당구클럽,"경기도 부천시 상동로 83, 401호 (상동)",032-325-9172
466,당구장업,한솔당구장,"경기도 부천시 송내대로265번길 59, 204,205호 (상동, 한솔프라자)",032-263-2248
467,당구장업,거북이당구장,"경기도 부천시 상동로117번길 31, 308~309호 (상동, 대림타운)",032-321-9354
468,당구장업,로데오당구클럽,"경기도 부천시 부일로199번길 31, 301호 (상동, 낫시프라자)",
469,당구장업,구슬치기,"경기도 부천시 장말로 1, 501,503호 (상동, 정우프라자)",032-322-9083
470,당구장업,마녀당구클럽,"경기도 부천시 상일로94번길 34, 3층 (상동)",
471,당구장업,큐당구장,"경기도 부천시 송내대로73번길 31, 무궁화 202~203호 (상동)",
472,당구장업,펍큐당구클럽부천상동점,"경기도 부천시 소향로37번길 31-21, 라라플러스 401호 (상동)",
473,썰매장업,(주)볼베어파크 부천지점,"경기도 부천시 조마루로 2, 부천체육문화센터 201호 (상동)",032-322-7760
474,무도학원업,PL댄스스포츠,"경기도 부천시 소향로37번길 31-17, 2층 일부호 (상동, 유원프라자)",
475,종합체육시설업,웅진플레이도시,경기도 부천시 조마루로 2 (상동),032-310-8141
476,수영장업,룸비니수영장,"경기도 부천시 소사로 367 (원미동, 석왕사)",
477,체력단련장업,153태권도장,"경기도 부천시 부흥로 407, 3층 (심곡동)",
478,체력단련장업,웅비체육관,경기도 부천시 장말로352번길 37 (심곡동),
479,체력단련장업,부천화랑태권도,경기도 부천시 장말로 310 (심곡동),
480,체력단련장업,정무문쿵후체육관,경기도 부천시 부일로517번길 22 (심곡동),
481,체력단련장업,경희대대웅태권도체육관,"경기도 부천시 부흥로 431, 2층3층 (심곡동)",
482,체력단련장업,청도태권도체육관,"경기도 부천시 신흥로103번길 13, 2층 (심곡동)",
483,체력단련장업,경희대석사 삼손참태권도장,"경기도 부천시 조종로 34, 4층 (원미동)",
484,체력단련장업,부천검도관,"경기도 부천시 부일로 495, 3층 (심곡동)",
485,체력단련장업,JS 복싱휘트니스클럽,"경기도 부천시 부천로 24, 2층 (심곡동)",
486,체력단련장업,고려대태권스쿨,"경기도 부천시 부천로66번길 57, 2층 (심곡동)",
487,체력단련장업,용인대 대동 태권도,"경기도 부천시 조마루로366번길 67, 2층 (심곡동)",
488,체력단련장업,하나 태권도장,"경기도 부천시 장말로294번길 32-3, 2층,지층 (심곡동)",
489,체력단련장업,원미창조태권도,"경기도 부천시 부흥로 424, 상가층 201호 (심곡동, 하나리아벨주상복합아파트)",
490,체력단련장업,연세복싱,"경기도 부천시 부천로 107, 3층일부층 (심곡동)",
491,체력단련장업,경희베스트체대,"경기도 부천시 부흥로 404, 지하층 (심곡동)",
492,체력단련장업,튼튼아이태권도,"경기도 부천시 원미로 100, 204~7, 2015~6호 (원미동, 풍림아파트상가)",
493,체력단련장업,쿠바복싱다이어트 클럽 2관,"경기도 부천시 부천로40번길 18, 3층 (심곡동)",
494,체력단련장업,부천검도관,경기도 부천시 부흥로 370 (심곡동),
495,체력단련장업,부천용인대유도체육관,"경기도 부천시 부천로 79, 지층호 (심곡동, 세상빌딩)",
496,체력단련장업,트라이스톤GYM,경기도 부천시 부일로 473 (심곡동),
497,체력단련장업,피노키오 복싱,"경기도 부천시 부일로449번길 7, 3층 (심곡동)",
498,골프연습장업,고투(GOTO) 부천역 골프,"경기도 부천시 부천로 7, 6일부층 (심곡동)",
499,골프연습장업,MG스크린골프,"경기도 부천시 부일로 485, 7층 (심곡동)",
500,골프연습장업,MG골프연습장,"경기도 부천시 부일로 485, 6층 (심곡동)",
501,체력단련장업,그린헬스클럽,"경기도 부천시 부일로495번길 42, 3층 (심곡동, 청골빌딩)",
502,체력단련장업,코리아짐헬스,"경기도 부천시 신흥로 84, 4층 (심곡동)",
503,체력단련장업,고투(GOTO) 부천역,"경기도 부천시 부천로 7, 5층~6일부층 (심곡동)",
504,체력단련장업,Rain FITNESS,"경기도 부천시 부천로90번길 8, 8층 (원미동, 아송빌딩)",
505,체력단련장업,훈핏,"경기도 부천시 부일로483번길 11, 3층 (심곡동)",
506,체력단련장업,리얼짐,"경기도 부천시 부일로 448, 303호 (심곡동, 프리존빌딩)",
507,체력단련장업,바디마스터,"경기도 부천시 부천로54번길 10, 2층 201호 (심곡동, 영도빌딩)",
508,체력단련장업,라온바디핏,경기도 부천시 원미로97번길 31 (원미동),
509,체력단련장업,크로스핏킹콩,"경기도 부천시 부천로 32, 민병철어학원 지층 (심곡동)",
510,체력단련장업,바디온짐,"경기도 부천시 장말로 273, 유진빌딩 4층 (심곡동)",
511,체력단련장업,다온피티스튜디오,"경기도 부천시 부천로54번길 10, 영도빌딩 2층 (심곡동)",
512,체력단련장업,부천역점 스포애니 주)케이디스포츠,"경기도 부천시 부천로 47, 2층 201~208호 (심곡동, 노마즈하우스)",
513,당구장업,재미나당구장,경기도 부천시 부일로 531 (심곡동),
514,당구장업,그냥당구장,"경기도 부천시 원미로 97-1, 2층 (원미동)",
515,당구장업,VIP ∏당구장,경기도 부천시 부천로3번길 41 (심곡동),
516,당구장업,당구채널,"경기도 부천시 부천로 82, 3층 (심곡동)",
517,당구장업,012당구장,경기도 부천시 신흥로 93 (심곡동),
518,당구장업,블랙잭당구장,경기도 부천시 부일로 567 (소사동),
519,당구장업,유피2당구장,"경기도 부천시 부일로483번길 21, 3,4층 (심곡동)",
520,당구장업,삼성당구장,경기도 부천시 부천로10번길 30 (심곡동),
521,당구장업,파스텔당구장,"경기도 부천시 부일로449번길 38, 3층 (심곡동)",
522,당구장업,메드나인 포켓볼,경기도 부천시 부일로 460 (심곡동),
523,당구장업,다마당구장,"경기도 부천시 신흥로52번길 47, 2층 (심곡동)",
524,당구장업,특실당구장,"경기도 부천시 부천로103번길 10, 4층 (심곡동, 가나빌딩)",
525,당구장업,당구카페,"경기도 부천시 부천로40번길 10, 4층 (심곡동, 대원빌딩)",
526,당구장업,나이스당구카페,"경기도 부천시 부일로 466, 4(일부)층 (심곡동, 광장빌딩)",
527,당구장업,그린당구장,"경기도 부천시 부천로 42, 2층 (심곡동)",
528,당구장업,그린 당구장,"경기도 부천시 부일로 523, 지하1층 (심곡동)",
529,당구장업,레인보우 당구클럽,경기도 부천시 부천로9번길 54 (심곡동),
530,당구장업,세븐 당구장,경기도 부천시 부일로518번길 30 (심곡동),
531,당구장업,Q 당구장,"경기도 부천시 부천로147번길 16, 2층 (심곡동)",
532,당구장업,당구존,"경기도 부천시 부천로9번길 28, 4층 (심곡동)",
533,당구장업,Q&SHOT 당구장,"경기도 부천시 신흥로56번길 47, 2층 (심곡동)",
534,당구장업,점프 당구장,"경기도 부천시 부천로40번길 18, 2층 (심곡동)",
535,당구장업,곤 당구장,"경기도 부천시 부일로469번길 38, 2층 (심곡동)",
536,당구장업,아지트당구장,"경기도 부천시 신흥로 32, 2층 (심곡동)",
537,당구장업,미래당구장,"경기도 부천시 부흥로373번길 44, 지하1층 (심곡동)",
538,당구장업,우리당구장,"경기도 부천시 부일로 401, 2층 (심곡동)",
539,당구장업,빅볼당구클럽,"경기도 부천시 부일로459번길 33, 5층 (심곡동)",
540,당구장업,큐스포츠,"경기도 부천시 부일로483번길 15, 3층 (심곡동)",
541,당구장업,당구매니아,"경기도 부천시 부일로459번길 32, 5층 (심곡동, 이도빌딩)",
542,당구장업,스타당구장,"경기도 부천시 장말로 351, 지하층 (심곡동)",
543,당구장업,지투죤당구장,"경기도 부천시 부천로 3-1, 지하1층 6호 (심곡동)",
544,당구장업,스포츠당구장,"경기도 부천시 부흥로 439, 3층 (원미동)",
545,당구장업,싸이버당구장,"경기도 부천시 부일로505번길 12, 지층 (심곡동)",
546,당구장업,크리스탈당구장,"경기도 부천시 심중로 48, 2층 (심곡동)",
547,당구장업,도화당구장,"경기도 부천시 소사로 296-1, 지층 1호 (소사동)",
548,당구장업,원당구장,"경기도 부천시 신흥로26번길 54, 2층 (심곡동)",
